festival_name,start_date,end_date,impact_level,demand_multiplier,routes_affected
Uttarayan (Kite Festival),2023-01-14,2023-01-15,Very High,1.85,ALL
Mahashivratri,2023-02-18,2023-02-18,Medium,1.35,ALL
Holi,2023-03-08,2023-03-09,High,1.6,ALL
Ram Navami,2023-03-30,2023-03-30,Medium,1.25,ALL
Ambedkar Jayanti,2023-04-14,2023-04-14,Low,1.15,ALL
Eid al-Fitr,2023-04-21,2023-04-23,High,1.6,ALL
Gujarat Sthapana Divas,2023-05-01,2023-05-01,Low,1.12,ALL
Summer Vacation Peak,2023-05-15,2023-06-15,High,1.5,ALL
Rath Yatra,2023-06-20,2023-06-20,High,1.55,ALL
Independence Day,2023-08-15,2023-08-15,Medium,1.3,ALL
Janmashtami,2023-09-06,2023-09-07,High,1.55,ALL
Ganesh Chaturthi,2023-09-19,2023-09-28,Medium,1.3,ALL
Navratri,2023-10-15,2023-10-24,Very High,1.92,ALL
Diwali + Gujarati New Year,2023-11-10,2023-11-15,Very High,1.95,ALL
Rann Utsav Season,2023-11-01,2024-02-29,High,1.5,"4,10"
Christmas,2023-12-25,2023-12-26,Low,1.18,ALL
New Year Eve,2023-12-31,2024-01-01,High,1.65,ALL
Uttarayan (Kite Festival),2024-01-14,2024-01-15,Very High,1.85,ALL
Mahashivratri,2024-03-08,2024-03-08,Medium,1.35,ALL
Holi,2024-03-25,2024-03-26,High,1.6,ALL
Ambedkar Jayanti,2024-04-14,2024-04-14,Low,1.15,ALL
Ram Navami,2024-04-17,2024-04-17,Medium,1.25,ALL
Eid al-Fitr,2024-04-10,2024-04-11,High,1.6,ALL
Gujarat Sthapana Divas,2024-05-01,2024-05-01,Low,1.12,ALL
Summer Vacation Peak,2024-05-15,2024-06-15,High,1.5,ALL
Rath Yatra,2024-07-07,2024-07-07,High,1.55,ALL
Independence Day,2024-08-15,2024-08-15,Medium,1.3,ALL
Janmashtami,2024-08-26,2024-08-26,High,1.55,ALL
Ganesh Chaturthi,2024-09-07,2024-09-17,Medium,1.3,ALL
Navratri,2024-10-03,2024-10-12,Very High,1.92,ALL
Diwali + Gujarati New Year,2024-11-01,2024-11-05,Very High,1.95,ALL
Christmas,2024-12-25,2024-12-26,Low,1.18,ALL
New Year Eve,2024-12-31,2024-12-31,High,1.65,ALL
